Emp Name,Expense Type,Payment Thru,Amount,Service Fee,Total Amount,Transaction Date,Country,Department
Sandra Shepherd,Meals,Cash,1327.81,112.41,1440.22,2023-03-07,United Kingdom,FINC
Lauren Sellers,Air,Cash,515.35,34.89,550.24,2024-03-13,Canada,ADMN
Kristina Thomas,Hotel,Card,1827.53,55.12,1882.65,2023-11-18,Germany,SALS
Paul Hickman,Meals,Card,408.26,21.79,430.05,2023-09-14,Australia,ADMN
Spencer Adkins,Hotel,Cash,1820.71,136.7,1957.41,2024-02-21,India,FINC
Alison Edwards,Meals,Cash,1169.39,95.94,1265.33,2024-03-25,Canada,FINC
Carla Patterson,Car,Card,1620.3,113.59,1733.89,2024-08-05,Canada,ENGG
Kristy Haas,Meals,Card,1145.23,80.32,1225.55,2023-11-22,United Kingdom,ENGG
Steven Ho,Car,Card,348.15,20.72,368.87,2024-06-10,Germany,SALS
Michelle Mays,Meals,Card,93.25,2.58,95.83,2024-05-31,United Kingdom,ADMN
Phyllis Stephens,Hotel,Card,1178.01,37.72,1215.73,2023-02-27,Canada,SALS
Katrina Wallace,Air,Cash,85.8,5.68,91.48,2024-03-01,India,FINC
Kyle Clark,Car,Cash,1802.54,86.69,1889.23,2024-07-05,Germany,ENGG
Amanda Moody,Hotel,Card,241.78,5.89,247.67,2023-09-26,Germany,EXEC
Sherry Bentley,Car,Cash,1358.08,79.4,1437.48,2023-06-21,India,SALS
Brian Rivera,Meals,Cash,1807.97,60.81,1868.78,2023-04-20,Australia,ADMN
Kayla Curtis,Car,Cash,651.89,21.68,673.57,2024-07-01,Canada,EXEC
Samantha Howell,Meals,Card,323.33,13.84,337.17,2023-02-03,Canada,ADMN
Carolyn Smith,Hotel,Cash,1284.27,38.81,1323.08,2023-11-06,United Kingdom,FINC
Christian Armstrong,Air,Cash,716.24,28.98,745.22,2024-06-07,Canada,EXEC
Valerie Walsh,Meals,Card,1487.18,88.38,1575.56,2023-11-20,India,ENGG
Joy Lam,Meals,Card,1310.62,83.16,1393.78,2023-10-28,Germany,ADMN
Bill Baker,Car,Cash,1817.62,38.4,1856.02,2023-05-07,United States,SALS
Grace Walker,Hotel,Cash,782.44,71.51,853.95,2023-02-15,United Kingdom,ENGG
Charles Aguilar,Car,Cash,575.39,17.84,593.23,2023-09-24,United Kingdom,ADMN
Kevin Lee,Meals,Cash,1820.56,114.97,1935.53,2023-11-04,United States,ENGG
David Williams,Meals,Cash,1047.53,101.78,1149.31,2023-01-01,Canada,FINC
Deborah Bennett,Car,Cash,1896.52,79.03,1975.55,2024-05-24,Australia,FINC
Mary Martinez,Meals,Cash,597.91,27.73,625.64,2024-08-19,India,ADMN
Aaron Christian,Car,Card,560.07,15.65,575.72,2024-11-17,Australia,ENGG
Edward Wright,Air,Card,1070.75,64.1,1134.85,2023-03-30,United States,EXEC
Kimberly Massey,Car,Cash,1159.3,23.74,1183.04,2023-02-13,United States,ADMN
Lindsay Allen,Car,Cash,1740.9,69.05,1809.95,2024-01-13,United Kingdom,EXEC
Monica Fuller,Meals,Cash,174.56,15.08,189.64,2024-08-02,India,ENGG
Greg Andrade,Hotel,Cash,410.63,18.74,429.37,2023-05-30,India,ADMN
Kaitlyn Robbins,Car,Card,1338.46,61.84,1400.3,2024-12-07,Canada,EXEC
Daniel Greene,Air,Card,1422.89,108.77,1531.66,2023-05-20,India,ADMN
Rhonda Larson,Meals,Card,1071.93,88.43,1160.36,2023-03-10,India,FINC
Justin Smith,Car,Card,1477.7,105.71,1583.41,2024-11-05,India,ADMN
Sara Torres,Meals,Cash,1580.24,96.47,1676.71,2023-04-20,United States,EXEC
Evan Harris,Hotel,Card,339.23,29.36,368.59,2024-03-29,India,ADMN
Jamie Johnson,Car,Cash,1242.37,51.52,1293.89,2023-04-13,United Kingdom,EXEC
Joel Black,Air,Card,1734.3,108.67,1842.97,2024-02-18,Germany,SALS
Angela Gould,Air,Card,837.61,52.79,890.4,2024-02-06,Australia,SALS
Steven Doyle,Hotel,Cash,68.21,5.31,73.52,2023-04-25,United States,ENGG
Tina Jordan,Air,Card,483.59,41.65,525.24,2024-07-19,Canada,FINC
Stephanie Norton,Car,Card,715.91,42.82,758.73,2024-12-05,Australia,FINC
Richard Campbell,Hotel,Card,620.92,40.87,661.79,2023-07-10,United States,EXEC
Jacqueline Smith,Hotel,Card,376.07,15.53,391.6,2024-01-16,Canada,FINC
Jeffrey Stewart,Meals,Cash,1493.75,36.18,1529.93,2023-06-03,United Kingdom,FINC
Jeffery Williams,Meals,Card,978.44,82.9,1061.34,2023-08-14,Canada,EXEC
Valerie Fisher,Meals,Cash,386.2,8.4,394.6,2023-11-14,Canada,ADMN
James Webb,Hotel,Card,1930.03,78.92,2008.95,2024-09-06,Australia,ENGG
Nathaniel Alvarado,Car,Cash,947.77,82.23,1030.0,2024-03-08,United Kingdom,SALS
Philip Miles,Meals,Cash,994.91,69.21,1064.12,2023-05-06,United Kingdom,ENGG
Bruce Stevenson,Hotel,Cash,1828.59,161.44,1990.03,2024-06-05,India,FINC
Haley Bryant,Air,Cash,1395.8,119.41,1515.21,2024-04-11,India,EXEC
Joseph Acosta,Hotel,Cash,143.59,10.8,154.39,2024-12-11,India,EXEC
Mr. Jeremy Gutierrez MD,Hotel,Card,691.87,56.54,748.41,2024-08-01,Germany,SALS
Jordan Santos,Car,Card,181.26,15.98,197.24,2023-09-12,Canada,ADMN
Courtney Hill,Air,Card,1675.19,161.75,1836.94,2024-10-05,United Kingdom,ENGG
Alison Hodge,Hotel,Card,1462.1,41.76,1503.86,2023-06-27,Germany,EXEC
Harry Scott,Hotel,Cash,1277.22,65.16,1342.38,2023-01-03,Australia,EXEC
Norma Burton,Air,Cash,129.71,10.78,140.49,2023-07-28,United States,SALS
Rebecca Howard,Car,Card,946.2,54.27,1000.47,2023-03-24,United States,SALS
Kelsey Sweeney,Car,Cash,1855.64,139.63,1995.27,2024-11-03,Australia,FINC
Lisa Bishop,Meals,Card,433.42,32.48,465.9,2023-04-24,United Kingdom,EXEC
Elaine Williams,Meals,Cash,273.41,26.09,299.5,2023-05-08,Australia,ENGG
Eric Myers,Meals,Cash,1413.27,134.37,1547.64,2024-07-19,United States,ENGG
Claire Campbell,Meals,Card,681.45,14.63,696.08,2023-05-06,United States,FINC
Brent Adams,Hotel,Card,1765.06,101.85,1866.91,2024-01-10,United Kingdom,ADMN
Tiffany Bell,Air,Card,1797.53,82.4,1879.93,2024-06-13,Canada,FINC
Dillon Davis,Air,Card,746.66,37.54,784.2,2024-06-24,Australia,ENGG
Kelly Mccarty,Hotel,Cash,1325.21,57.25,1382.46,2024-07-14,United States,EXEC
Patricia Hudson,Meals,Cash,1709.41,54.05,1763.46,2023-12-04,Australia,SALS
Eugene Turner,Air,Card,1096.87,67.36,1164.23,2024-08-26,Germany,FINC
Morgan Lee,Meals,Cash,72.59,5.53,78.12,2023-04-04,India,ADMN
Juan Bird,Car,Card,250.58,11.97,262.55,2023-11-19,Germany,ENGG
William Mclean,Air,Cash,85.53,5.54,91.07,2023-10-17,United Kingdom,SALS
Jennifer Martin,Meals,Cash,324.06,17.04,341.1,2023-02-25,Germany,ADMN
Paula Smith,Air,Cash,1657.6,59.45,1717.05,2024-11-26,India,ENGG
Deanna Schwartz,Hotel,Card,350.16,18.13,368.29,2024-11-03,India,EXEC
Gregory Russell,Hotel,Cash,408.67,10.03,418.7,2024-10-02,Germany,EXEC
Jason Cooper PhD,Hotel,Card,818.26,43.06,861.32,2023-01-05,India,ENGG
Brandon Armstrong,Hotel,Cash,585.15,43.87,629.02,2023-07-09,United States,SALS
Angela Sawyer,Car,Card,752.44,22.06,774.5,2023-04-03,United Kingdom,ENGG
Derek Kelly,Hotel,Card,534.47,36.32,570.79,2023-01-17,United Kingdom,FINC
Melissa Young,Meals,Card,434.94,11.6,446.54,2024-12-05,Germany,EXEC
Christopher Fields,Air,Cash,1511.62,43.94,1555.56,2024-03-14,United States,ENGG
Crystal Nicholson,Car,Card,1360.26,116.18,1476.44,2024-11-29,Australia,ENGG
David Norris,Air,Cash,712.5,31.36,743.86,2024-05-05,Canada,ADMN
Larry Fischer,Air,Cash,1946.6,123.13,2069.73,2024-08-25,United Kingdom,ENGG
Ronnie Chavez,Air,Card,897.17,64.85,962.02,2024-09-29,Australia,ADMN
Sean Ortiz,Meals,Card,362.37,19.11,381.48,2023-11-21,United Kingdom,SALS
Peter Stanton,Air,Cash,98.27,5.6,103.87,2024-04-20,Australia,ADMN
Luis Sullivan,Meals,Cash,1669.39,135.58,1804.97,2024-01-26,Germany,ENGG
Danielle Khan,Car,Card,1148.92,110.58,1259.5,2023-12-08,United States,SALS
Julie Simpson,Car,Card,1226.61,42.62,1269.23,2023-03-03,India,SALS
Aaron Harris,Meals,Cash,1881.91,102.34,1984.25,2024-08-02,India,FINC
Darren Mccall,Meals,Card,1776.85,46.47,1823.32,2024-07-23,United States,ENGG
Jonathan Mills,Car,Cash,711.53,30.55,742.08,2024-09-14,Australia,FINC
Jennifer Peterson,Hotel,Card,1403.77,29.74,1433.51,2024-11-07,India,ADMN
Paul Black,Meals,Card,1436.88,75.08,1511.96,2024-09-24,Germany,FINC
Marilyn Olson,Hotel,Card,1110.16,105.66,1215.82,2023-02-16,Australia,ENGG
Joann Reeves,Car,Cash,198.05,15.5,213.55,2024-01-09,India,ENGG
Melanie Martinez,Meals,Cash,348.32,22.16,370.48,2023-12-06,Canada,ADMN
Shannon Liu,Air,Cash,310.72,30.5,341.22,2023-12-16,Australia,SALS
Joanne Wood,Car,Cash,1144.78,110.18,1254.96,2023-10-04,United States,SALS
Luis Browning,Air,Cash,541.7,46.59,588.29,2023-05-23,Australia,SALS
Clarence Beck MD,Air,Cash,1752.01,90.37,1842.38,2024-08-24,India,FINC
April Cooper,Air,Cash,1080.84,50.55,1131.39,2023-12-23,United Kingdom,FINC
Daniel Drake,Air,Cash,1909.51,161.21,2070.72,2023-08-06,Canada,EXEC
Susan Roberts,Meals,Cash,1559.36,34.3,1593.66,2023-11-01,India,SALS
David Reyes,Hotel,Card,1060.65,35.87,1096.52,2024-08-23,United Kingdom,ADMN
Tina Friedman,Car,Card,1504.02,114.0,1618.02,2023-10-20,Australia,FINC
Alan James,Hotel,Card,1125.28,71.53,1196.81,2024-02-19,Canada,FINC
Jacob Davis,Air,Cash,803.13,53.63,856.76,2024-07-05,United States,EXEC
Bryce Dunn,Meals,Cash,675.87,60.19,736.06,2023-04-10,United States,ENGG
Dr. Grant Ferguson,Hotel,Card,1969.16,102.01,2071.17,2024-01-15,Germany,ADMN
Shaun Sanders,Car,Card,557.47,54.52,611.99,2024-05-15,Germany,ADMN
Sharon Landry,Air,Cash,667.66,22.52,690.18,2024-09-24,India,ENGG
Sheri Mahoney,Car,Cash,1089.11,67.81,1156.92,2024-05-15,United States,EXEC
Monique Gomez,Car,Cash,1558.68,61.14,1619.82,2023-02-15,United Kingdom,EXEC
Kimberly Freeman,Meals,Card,1715.16,53.92,1769.08,2024-06-15,Germany,EXEC
Holly Manning,Car,Cash,1927.89,183.0,2110.89,2024-12-21,United Kingdom,ENGG
Douglas Mason,Meals,Cash,1301.22,49.25,1350.47,2024-08-19,United States,EXEC
Lori Munoz,Air,Cash,1244.6,114.49,1359.09,2023-09-20,Germany,SALS
Daniel Reid,Meals,Card,1302.23,77.56,1379.79,2023-11-26,Australia,ENGG
Jessica Kelly,Hotel,Card,83.17,5.9,89.07,2023-07-17,India,FINC
Jennifer Stephens,Meals,Card,88.29,2.84,91.13,2024-12-05,United Kingdom,EXEC
Phillip Walker,Air,Card,1133.0,50.26,1183.26,2024-01-24,Germany,SALS
Kelly Miller,Car,Cash,669.25,25.56,694.81,2023-10-03,Germany,FINC
Jose Gutierrez,Hotel,Cash,1414.08,51.32,1465.4,2023-11-08,United Kingdom,FINC
Kristin Vargas,Car,Cash,923.87,47.24,971.11,2024-06-15,Canada,FINC
Diane Wiley,Meals,Cash,686.86,33.98,720.84,2023-08-01,United States,FINC
Wendy Kramer,Meals,Card,1705.28,68.7,1773.98,2024-09-13,Germany,SALS
Lisa Hayes,Meals,Cash,363.8,22.35,386.15,2023-05-07,United States,ADMN
Matthew Hatfield,Hotel,Cash,1610.56,92.58,1703.14,2024-04-02,Germany,FINC
Autumn Harris,Car,Card,858.64,69.57,928.21,2023-06-22,Germany,FINC
Blake Guzman,Hotel,Cash,1226.54,120.84,1347.38,2023-07-01,India,SALS
Kimberly Guerra,Car,Card,1134.66,102.03,1236.69,2024-03-29,Germany,ENGG
Chase Walker,Car,Card,1701.72,133.32,1835.04,2023-12-29,United States,ADMN
Michael Mahoney,Meals,Cash,1621.67,74.96,1696.63,2023-05-22,Germany,FINC
Jennifer Sims,Hotel,Cash,1956.03,39.19,1995.22,2024-04-08,Canada,ADMN
Bryan Stewart,Meals,Cash,774.11,17.97,792.08,2023-07-20,Germany,ADMN
Angel Davila,Air,Card,217.82,10.38,228.2,2024-04-26,United States,EXEC
Tony Farrell,Hotel,Card,349.09,10.36,359.45,2024-06-08,Australia,EXEC
Kayla Miller,Hotel,Card,827.29,50.9,878.19,2024-04-08,India,EXEC
Kristen Tucker,Hotel,Cash,735.52,39.48,775.0,2023-09-23,United Kingdom,SALS
Timothy Mcfarland,Car,Card,1543.51,49.62,1593.13,2024-04-13,Australia,ADMN
James Wallace,Air,Card,1776.78,157.99,1934.77,2024-05-30,Germany,FINC
Yvette Mcdaniel,Air,Card,1359.0,120.25,1479.25,2023-03-07,Germany,FINC
Lisa Phillips,Hotel,Cash,165.91,7.53,173.44,2023-06-03,Germany,ENGG
Lisa Williams,Car,Cash,1310.83,111.38,1422.21,2023-08-04,India,ENGG
Joseph Anderson,Meals,Card,1470.79,85.22,1556.01,2023-08-14,United States,EXEC
Richard Stevens,Air,Card,567.26,47.69,614.95,2023-06-23,United States,ENGG
Michael Nguyen,Car,Card,1295.29,98.64,1393.93,2024-03-27,Germany,ADMN
Alicia Owens,Car,Cash,59.08,4.94,64.02,2023-02-16,Germany,ENGG
Daniel Barton,Car,Cash,512.58,23.53,536.11,2024-05-21,Germany,ENGG
Veronica Hobbs,Air,Card,692.22,62.14,754.36,2024-12-17,Canada,ENGG
Michele Wallace,Air,Card,176.71,13.8,190.51,2023-04-24,United Kingdom,SALS
Danielle Ruiz,Air,Card,797.0,51.33,848.33,2023-05-22,Germany,FINC
Katelyn Zuniga,Meals,Cash,1497.62,49.17,1546.79,2023-06-09,United States,FINC
Michael Ramos,Hotel,Card,1424.84,57.29,1482.13,2024-11-20,United Kingdom,ADMN
Christine Trevino,Car,Card,955.54,84.19,1039.73,2024-03-04,Australia,FINC
Patrick Rojas,Hotel,Card,279.66,22.37,302.03,2024-10-05,United Kingdom,EXEC
Brian Johnson,Meals,Cash,201.8,14.86,216.66,2024-10-13,India,ADMN
Stephanie Neal,Hotel,Card,1673.59,92.2,1765.79,2024-03-02,India,ENGG
Ryan Edwards,Air,Card,1111.96,54.42,1166.38,2024-12-29,India,ENGG
Derrick Hayes,Air,Cash,1647.55,36.09,1683.64,2023-04-29,Canada,FINC
Kristina Brooks,Meals,Card,1486.99,128.45,1615.44,2023-10-10,Germany,FINC
Caleb Freeman,Air,Cash,1598.89,84.14,1683.03,2024-04-20,United States,ADMN
Pamela Mcneil,Air,Cash,272.69,10.44,283.13,2023-09-28,Canada,SALS
Amanda Flores,Meals,Cash,698.58,44.76,743.34,2024-06-01,Canada,ADMN
Jessica Johns,Car,Card,1543.26,84.58,1627.84,2023-03-28,India,FINC
Douglas Williams,Car,Cash,1129.7,112.1,1241.8,2024-01-15,United States,SALS
Michael White,Meals,Cash,997.99,40.67,1038.66,2023-05-14,India,SALS
Michelle Reed,Hotel,Cash,1975.98,137.43,2113.41,2024-11-22,India,EXEC
James Henry,Air,Card,1883.54,139.11,2022.65,2023-07-09,Australia,EXEC
Mark Donovan,Car,Cash,51.32,2.52,53.84,2024-05-29,United States,ADMN
Joshua Fuller,Hotel,Cash,377.51,26.06,403.57,2023-03-13,Canada,ENGG
Latoya Mcclure,Hotel,Card,352.29,14.14,366.43,2024-06-18,India,SALS
Sabrina Crosby,Meals,Card,1000.85,89.81,1090.66,2024-06-30,Canada,FINC
Kathleen Reed,Hotel,Card,1126.78,32.41,1159.19,2024-08-18,India,SALS
Courtney Scott,Meals,Card,780.1,25.62,805.72,2023-09-21,Canada,FINC
Henry Scott,Air,Card,1043.59,101.19,1144.78,2024-06-29,United Kingdom,EXEC
Mark Martin,Hotel,Card,1590.02,126.58,1716.6,2024-10-17,United Kingdom,ENGG
Gerald Dean,Air,Card,999.25,21.81,1021.06,2023-05-24,Canada,EXEC
Vincent Nelson,Meals,Cash,1241.47,57.56,1299.03,2024-02-18,India,ADMN
Troy Keith,Meals,Card,196.88,14.49,211.37,2023-01-16,Australia,ADMN
Michael Parker,Hotel,Cash,1775.38,68.02,1843.4,2024-01-16,United States,ENGG
Carmen Smith,Car,Cash,704.18,29.93,734.11,2024-12-13,Germany,SALS
Clayton Jensen,Meals,Card,1664.93,103.7,1768.63,2024-05-28,Australia,ENGG
Desiree Bates DDS,Meals,Card,1439.0,93.56,1532.56,2024-09-20,Germany,ENGG
Marissa Walsh,Air,Cash,1688.95,127.58,1816.53,2024-07-19,United States,ENGG
Anthony Deleon,Air,Card,1301.79,37.21,1339.0,2023-08-09,Canada,FINC
David Sullivan,Car,Cash,1432.26,99.76,1532.02,2024-06-11,United States,ENGG
Mark Sandoval,Air,Card,1161.26,78.55,1239.81,2024-12-03,United Kingdom,FINC
Tricia Pierce,Meals,Cash,1167.85,92.26,1260.11,2024-05-29,United States,ENGG
Andrew Bennett,Car,Cash,1335.15,103.38,1438.53,2024-01-16,Germany,SALS
Kevin Bell MD,Car,Cash,943.24,29.68,972.92,2024-06-21,Australia,FINC
Dawn Flores,Hotel,Cash,379.83,32.96,412.79,2023-06-21,United States,ADMN
Susan Schmidt,Air,Card,1638.07,84.36,1722.43,2024-10-27,United Kingdom,ADMN
Cory Fritz,Meals,Cash,309.73,16.29,326.02,2024-03-05,United States,EXEC
Suzanne Vincent,Hotel,Card,1500.49,106.78,1607.27,2023-05-22,India,ADMN
Matthew Johnson,Meals,Card,1356.66,102.72,1459.38,2024-01-22,India,ADMN
Jeffrey Smith,Hotel,Cash,653.38,39.34,692.72,2024-11-15,United Kingdom,ENGG
Nathan Sanders,Hotel,Cash,223.75,12.39,236.14,2024-09-23,India,FINC
Dylan Holmes,Air,Cash,286.82,18.01,304.83,2024-07-24,Germany,EXEC
Allison Smith,Hotel,Card,1321.01,65.33,1386.34,2024-08-02,Germany,FINC
Kenneth Haney,Car,Cash,51.8,2.94,54.74,2023-02-17,Germany,EXEC
Anthony Moore,Car,Card,578.48,15.87,594.35,2023-01-27,Canada,FINC
David Leonard,Hotel,Cash,1168.27,47.08,1215.35,2024-09-24,United States,ENGG
Christopher Gray,Meals,Cash,846.88,43.38,890.26,2023-05-13,India,EXEC
Ms. Heather Morgan,Meals,Cash,1920.19,108.66,2028.85,2023-09-03,Australia,SALS
Margaret Wright,Air,Cash,406.44,37.01,443.45,2023-08-17,Canada,ADMN
Nancy Oconnor,Car,Cash,550.89,42.91,593.8,2024-07-26,United States,EXEC
Cynthia Bond,Car,Cash,1503.63,78.81,1582.44,2023-08-01,Australia,FINC
Dylan Hayden,Meals,Cash,1507.06,58.36,1565.42,2024-10-14,Canada,SALS
Adam Carroll,Air,Cash,1667.07,164.0,1831.07,2024-07-23,India,EXEC
Nancy Martin,Meals,Card,1003.9,23.14,1027.04,2024-05-06,Germany,SALS
John Mcdaniel,Air,Cash,252.31,12.15,264.46,2023-06-17,Australia,ENGG
Diane Ramirez,Car,Card,572.07,27.78,599.85,2023-04-02,Germany,ENGG
Molly Johnson,Air,Cash,1198.95,95.03,1293.98,2023-06-25,Australia,ENGG
Valerie Garcia,Meals,Cash,1548.36,81.54,1629.9,2023-09-15,United States,EXEC
Amanda Bond,Hotel,Card,480.35,40.69,521.04,2024-10-20,United States,EXEC
Chad Ortiz,Hotel,Card,433.43,34.54,467.97,2023-09-26,United States,EXEC
Harry Fleming,Meals,Card,410.12,38.39,448.51,2024-01-04,United States,SALS
Patricia Flowers,Car,Card,689.5,48.41,737.91,2024-12-21,United States,EXEC
Stephanie Bond,Car,Card,1965.7,163.89,2129.59,2023-08-05,United Kingdom,SALS
Tony Garza,Meals,Cash,420.96,22.15,443.11,2023-09-10,Canada,EXEC
Anthony Maddox,Car,Cash,1379.86,78.4,1458.26,2023-11-04,Canada,FINC
Richard Mcdowell,Car,Card,1846.31,184.53,2030.84,2023-06-06,Germany,EXEC
Linda Wilson,Car,Card,1205.63,64.33,1269.96,2024-04-11,United Kingdom,SALS
Mrs. Ashley Kaufman,Meals,Cash,736.01,54.74,790.75,2024-07-28,United Kingdom,SALS
Ricky Henderson,Meals,Card,453.98,30.07,484.05,2023-11-03,United States,FINC
Angela Boyd,Air,Cash,892.03,39.95,931.98,2024-07-23,Australia,ADMN
Jonathan Oliver,Air,Cash,1526.45,47.38,1573.83,2023-10-03,Germany,FINC
Joe Daugherty,Car,Card,1150.01,82.16,1232.17,2023-10-28,Canada,SALS
John Richardson,Hotel,Cash,1336.92,53.77,1390.69,2023-02-16,United States,ENGG
Wayne Molina,Car,Cash,1278.45,114.36,1392.81,2024-09-05,United States,FINC
Kaitlin Santos,Air,Cash,389.37,34.34,423.71,2023-07-23,Germany,SALS
Alexis Fernandez,Hotel,Cash,1321.72,106.94,1428.66,2023-01-01,United Kingdom,SALS
Michelle Hartman,Car,Card,1218.97,66.37,1285.34,2023-02-28,Canada,ENGG
Dr. Scott Hall III,Hotel,Card,1808.44,154.76,1963.2,2023-06-18,India,ADMN
Russell Miller,Car,Card,472.91,33.59,506.5,2023-08-19,United States,ENGG
Mrs. Allison Young,Air,Cash,202.73,13.31,216.04,2024-12-30,United States,SALS
Jason Perez,Car,Cash,1706.3,37.38,1743.68,2023-11-22,India,FINC
Christopher Johnson,Meals,Card,1928.74,160.28,2089.02,2024-07-29,Canada,ENGG
Dillon Parks,Air,Card,1338.09,99.5,1437.59,2024-12-13,United States,ENGG
Bonnie Hartman,Car,Cash,1253.09,60.97,1314.06,2024-08-15,India,ADMN
Michael Mcmahon,Air,Cash,1521.72,104.97,1626.69,2023-05-11,Germany,ENGG
Angela Hernandez,Meals,Cash,1749.52,143.27,1892.79,2023-12-03,United Kingdom,EXEC
Jason Henson,Meals,Cash,96.85,5.99,102.84,2023-02-11,United Kingdom,ENGG
Tanya Underwood,Car,Card,1682.1,131.48,1813.58,2023-09-04,Germany,ENGG
Nicholas Cox,Air,Card,752.15,44.4,796.55,2023-04-17,Australia,ENGG
Rachel Tanner,Meals,Card,1906.98,179.91,2086.89,2024-01-05,Germany,ENGG
Michael Roberts IV,Air,Cash,356.55,31.06,387.61,2024-12-19,India,FINC
Angela Rios,Air,Card,1402.64,95.78,1498.42,2023-07-19,Germany,ENGG
Ryan Thompson,Hotel,Card,1971.0,74.88,2045.88,2024-07-29,India,ENGG
Danielle Henry,Meals,Card,1564.63,66.64,1631.27,2024-06-25,United States,ENGG
Jacqueline Jensen MD,Air,Cash,1707.77,48.99,1756.76,2024-09-18,United Kingdom,ADMN
Christopher Ray,Air,Card,119.34,10.73,130.07,2024-04-27,United States,FINC
James Potter,Meals,Cash,1110.58,99.45,1210.03,2023-07-21,Germany,ADMN
Cody Simmons,Air,Cash,1017.87,40.69,1058.56,2024-10-27,United States,EXEC
Antonio Johnson,Air,Cash,1615.04,111.83,1726.87,2024-06-12,India,ADMN
Samuel Hart,Car,Card,841.24,27.43,868.67,2023-02-13,India,ENGG
Eric Smith,Hotel,Card,758.06,29.28,787.34,2024-03-08,Canada,SALS
Kyle Eaton,Car,Cash,1285.2,84.35,1369.55,2023-11-01,United Kingdom,ENGG
Barbara Luna,Air,Card,266.52,11.8,278.32,2023-02-23,India,ENGG
John Turner,Air,Cash,1365.04,44.04,1409.08,2024-02-19,United Kingdom,FINC
Heather Roberts,Meals,Card,1114.39,70.01,1184.4,2024-02-16,Germany,SALS
Abigail King,Air,Cash,1113.98,36.21,1150.19,2024-03-22,Canada,ADMN
Philip Clark,Car,Card,978.47,44.85,1023.32,2024-08-01,Germany,EXEC
Bill White,Meals,Card,1734.75,120.02,1854.77,2023-05-10,United States,ENGG
Jeffrey Nelson,Meals,Card,544.02,13.87,557.89,2023-08-23,United Kingdom,EXEC
Michelle Alvarez,Meals,Cash,1540.53,88.28,1628.81,2024-01-10,Germany,FINC
Michael Schultz,Car,Cash,331.01,16.96,347.97,2023-05-18,United States,SALS
Lauren Jones,Meals,Cash,326.71,32.46,359.17,2024-07-31,United Kingdom,ADMN
Alfred Dyer,Hotel,Cash,567.62,22.09,589.71,2024-12-17,India,FINC
Michael Pope,Car,Card,921.56,38.88,960.44,2023-10-30,Canada,ENGG
Gregory Hayes,Air,Cash,800.59,17.94,818.53,2024-05-14,United States,EXEC
Mr. Karl Avila,Hotel,Cash,708.39,20.96,729.35,2024-06-28,United Kingdom,ENGG
Cheryl Downs,Meals,Card,739.69,37.83,777.52,2023-08-17,United States,FINC
Katherine Mccoy,Hotel,Cash,1971.35,79.06,2050.41,2023-12-24,Germany,EXEC
Kristi Humphrey,Hotel,Cash,174.24,15.15,189.39,2024-11-10,Germany,FINC
Ryan Hubbard,Meals,Cash,199.71,18.44,218.15,2023-06-03,Australia,EXEC
Gregory Austin,Meals,Cash,734.21,14.78,748.99,2024-07-17,United Kingdom,ADMN
Derek Benjamin,Hotel,Card,206.07,11.75,217.82,2023-12-05,Germany,SALS
Cynthia Chan,Hotel,Cash,387.2,8.38,395.58,2024-04-17,Canada,SALS
Jasmine Wade,Meals,Cash,288.63,22.38,311.01,2024-01-04,Germany,SALS
Tammy Kelly,Car,Card,1621.23,156.9,1778.13,2024-02-09,Germany,EXEC
Nichole Harrison,Hotel,Cash,675.15,42.27,717.42,2024-07-12,United Kingdom,ADMN
Mrs. Bethany Carlson,Air,Cash,415.22,38.4,453.62,2023-09-21,Australia,ENGG
Chelsea Kelly,Meals,Cash,919.5,62.02,981.52,2024-01-17,United States,EXEC
Wendy Little,Car,Card,1284.53,79.43,1363.96,2023-01-20,United States,SALS
Stephen Long,Car,Card,808.39,46.72,855.11,2024-12-01,Germany,FINC
Ryan Johnson Jr.,Air,Cash,965.55,49.72,1015.27,2023-09-28,Australia,EXEC
Janice Garner,Car,Card,1957.91,179.16,2137.07,2023-02-25,Canada,SALS
Thomas Mercer,Hotel,Cash,1877.05,101.01,1978.06,2024-09-25,Australia,ENGG
Anita Contreras,Air,Card,1890.91,178.42,2069.33,2023-10-12,Australia,ENGG
Kristine Joyce,Meals,Card,1925.91,161.32,2087.23,2024-03-30,Canada,FINC
Billy Fisher,Air,Cash,86.54,4.31,90.85,2024-03-12,United States,SALS
Alicia Marshall DDS,Car,Cash,1284.81,107.54,1392.35,2024-09-04,Australia,ADMN
Michael Sparks,Air,Cash,801.92,77.56,879.48,2024-12-20,Germany,EXEC
Joshua Davis,Hotel,Card,1728.86,108.79,1837.65,2023-01-10,Canada,SALS
Matthew Mahoney,Hotel,Cash,274.59,5.75,280.34,2024-01-19,Germany,ADMN
Todd Jackson,Car,Card,111.58,10.78,122.36,2024-10-08,United States,ENGG
Andrea Gonzalez,Car,Cash,194.15,18.98,213.13,2023-05-27,Germany,SALS
Thomas Campbell,Air,Card,1016.41,31.06,1047.47,2024-12-17,India,ADMN
Ruben Hernandez,Meals,Card,1182.19,52.6,1234.79,2024-07-30,United States,EXEC
Stephanie Davis,Air,Cash,1568.35,33.54,1601.89,2024-02-11,United Kingdom,ENGG
Ann Spence,Hotel,Cash,1325.9,33.76,1359.66,2023-03-06,United States,ADMN
